,Aguascalientes,Mexicali,La Paz,San Francisco de Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Victoria de Durango,Toluca,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca de Juárez,Puebla de Zaragoza,Santiago de Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala de Xicohténcatl,Xalapa,Mérida,Zacatecas
Aguascalientes,0.0,2149.0,1341.0,1489.0,1309.0,945.0,486.0,478.0,407.0,403.0,474.0,178.0,2298.0,902.0,219.0,313.0,565.0,421.0,567.0,941.0,611.0,286.0,1802.0,168.0,904.0,1572.0,1233.0,496.0,606.0,746.0,1783.0,117.0
Mexicali,2145.0,0.0,1351.0,3592.0,3413.0,1197.0,2582.0,1925.0,2211.0,1819.0,2521.0,2323.0,162.0,3005.0,2053.0,2337.0,2606.0,1848.0,2240.0,3045.0,2714.0,2431.0,3906.0,2218.0,1395.0,694.0,3337.0,2513.0,2709.0,2850.0,3887.0,2031.0
La Paz,1341.0,1349.0,0.0,2664.0,2484.0,1105.0,1654.0,1402.0,1283.0,891.0,1593.0,1395.0,1478.0,2077.0,1125.0,1409.0,1678.0,920.0,1482.0,2116.0,1786.0,1503.0,2978.0,1373.0,467.0,734.0,2409.0,1761.0,1781.0,1922.0,2959.0,1187.0
San Francisco de Campeche,1497.0,3601.0,2674.0,0.0,442.0,2442.0,1019.0,1742.0,1728.0,1900.0,1082.0,1360.0,3761.0,599.0,1552.0,1309.0,1047.0,1754.0,1655.0,846.0,895.0,1224.0,314.0,1414.0,2237.0,2905.0,258.0,1387.0,907.0,822.0,359.0,1614.0
Tuxtla Gutiérrez,1316.0,3420.0,2494.0,440.0,0.0,2261.0,839.0,1562.0,1548.0,1719.0,901.0,1180.0,3580.0,419.0,1372.0,1129.0,866.0,1574.0,1475.0,560.0,715.0,1043.0,754.0,1234.0,2057.0,2725.0,243.0,1207.0,727.0,642.0,793.0,1434.0
Chihuahua,949.0,1196.0,1106.0,2437.0,2257.0,0.0,1434.0,729.0,1356.0,693.0,1422.0,1126.0,1345.0,1850.0,1168.0,1261.0,1513.0,1147.0,809.0,1889.0,1559.0,1234.0,2750.0,1022.0,742.0,696.0,2181.0,1088.0,1554.0,1694.0,2731.0,835.0
Ciudad de México,484.0,2581.0,1655.0,1008.0,829.0,1429.0,0.0,834.0,708.0,887.0,65.0,348.0,2741.0,421.0,533.0,290.0,74.0,734.0,898.0,461.0,130.0,211.0,1322.0,402.0,1217.0,1886.0,753.0,680.0,125.0,285.0,1303.0,601.0
Saltillo,480.0,1928.0,1400.0,1741.0,1561.0,724.0,836.0,0.0,886.0,513.0,824.0,618.0,2077.0,1154.0,698.0,763.0,915.0,899.0,87.0,1291.0,961.0,642.0,2055.0,448.0,962.0,1631.0,1485.0,366.0,956.0,999.0,2035.0,374.0
Colima,410.0,2214.0,1288.0,1720.0,1540.0,1355.0,709.0,888.0,0.0,826.0,648.0,464.0,2374.0,1133.0,196.0,464.0,733.0,367.0,977.0,1172.0,842.0,526.0,2033.0,521.0,850.0,1519.0,1464.0,849.0,837.0,977.0,2014.0,527.0
Victoria de Durango,405.0,1818.0,892.0,1893.0,1713.0,690.0,890.0,514.0,822.0,0.0,877.0,582.0,1978.0,1306.0,623.0,717.0,969.0,459.0,594.0,1345.0,1015.0,690.0,2206.0,478.0,454.0,1123.0,1637.0,872.0,1010.0,1150.0,2187.0,291.0
Toluca,473.0,2520.0,1594.0,1071.0,891.0,1418.0,66.0,823.0,647.0,876.0,0.0,336.0,2680.0,484.0,472.0,229.0,84.0,673.0,887.0,523.0,193.0,200.0,1384.0,391.0,1156.0,1825.0,815.0,708.0,188.0,350.0,1365.0,590.0
Guanajuato,177.0,2322.0,1395.0,1352.0,1172.0,1122.0,349.0,616.0,461.0,580.0,337.0,0.0,2481.0,765.0,273.0,176.0,428.0,475.0,680.0,804.0,474.0,149.0,1665.0,184.0,958.0,1626.0,1096.0,501.0,469.0,609.0,1646.0,294.0
Chilpancingo,2295.0,168.0,1481.0,3755.0,3575.0,1347.0,2745.0,2075.0,2374.0,1982.0,2684.0,2486.0,0.0,3168.0,2216.0,2500.0,2769.0,2010.0,2390.0,3207.0,2877.0,2594.0,4069.0,2368.0,1558.0,856.0,3499.0,2663.0,2872.0,3013.0,4050.0,2181.0
Pachuca,912.0,3016.0,2089.0,601.0,421.0,1857.0,434.0,1157.0,1143.0,1315.0,497.0,775.0,3176.0,0.0,967.0,724.0,462.0,1169.0,1070.0,287.0,310.0,639.0,914.0,829.0,1652.0,2320.0,345.0,803.0,322.0,237.0,895.0,1029.0
Guadalajara,220.0,2050.0,1124.0,1543.0,1364.0,1165.0,533.0,697.0,192.0,623.0,472.0,274.0,2210.0,957.0,0.0,288.0,557.0,204.0,787.0,996.0,666.0,382.0,1857.0,330.0,687.0,1355.0,1288.0,658.0,660.0,801.0,1838.0,337.0
Morelia,312.0,2336.0,1410.0,1298.0,1118.0,1257.0,288.0,762.0,463.0,715.0,227.0,176.0,2496.0,711.0,288.0,0.0,312.0,489.0,825.0,750.0,420.0,190.0,1612.0,329.0,972.0,1641.0,1042.0,647.0,415.0,556.0,1593.0,429.0
Cuernavaca,562.0,2600.0,1674.0,1042.0,862.0,1507.0,74.0,912.0,728.0,965.0,83.0,426.0,2760.0,455.0,552.0,309.0,0.0,754.0,976.0,494.0,157.0,289.0,1356.0,480.0,1236.0,1905.0,786.0,750.0,171.0,330.0,1337.0,679.0
Tepic,420.0,1845.0,919.0,1744.0,1564.0,1144.0,734.0,898.0,363.0,458.0,673.0,475.0,2005.0,1157.0,205.0,489.0,758.0,0.0,988.0,1196.0,866.0,583.0,2058.0,531.0,482.0,1150.0,1488.0,859.0,861.0,1002.0,2038.0,538.0
Monterrey,568.0,2243.0,1478.0,1656.0,1476.0,803.0,901.0,88.0,974.0,591.0,889.0,683.0,2392.0,1069.0,786.0,828.0,980.0,988.0,0.0,1267.0,938.0,706.0,1969.0,513.0,1040.0,1709.0,1400.0,281.0,922.0,914.0,1950.0,463.0
Oaxaca de Juárez,940.0,3044.0,2118.0,846.0,561.0,1885.0,463.0,1290.0,1172.0,1343.0,525.0,804.0,3204.0,287.0,996.0,753.0,490.0,1197.0,1354.0,0.0,338.0,667.0,1159.0,858.0,1680.0,2349.0,590.0,999.0,351.0,449.0,1140.0,1057.0
Puebla de Zaragoza,608.0,2712.0,1786.0,887.0,707.0,1553.0,131.0,958.0,840.0,1011.0,193.0,472.0,2872.0,300.0,664.0,421.0,148.0,865.0,1022.0,339.0,0.0,335.0,1201.0,526.0,1348.0,2017.0,631.0,668.0,20.0,175.0,1181.0,725.0
Santiago de Querétaro,285.0,2430.0,1503.0,1216.0,1036.0,1230.0,213.0,644.0,525.0,688.0,202.0,149.0,2589.0,629.0,381.0,191.0,292.0,583.0,707.0,668.0,338.0,0.0,1530.0,211.0,1066.0,1734.0,960.0,529.0,333.0,474.0,1510.0,402.0
