,Aguascalientes,Mexicali,La Paz,San Francisco de Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Victoria de Durango,Toluca,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca de Juárez,Puebla de Zaragoza,Santiago de Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala de Xicohténcatl,Xalapa,Mérida,Zacatecas
Aguascalientes,0.0,1087.0,1251.0,1034.0,1010.0,734.0,481.0,89.0,541.0,152.0,303.0,335.0,1087.0,679.0,541.0,303.0,481.0,541.0,162.0,718.0,434.0,303.0,1034.0,0.0,1044.0,1448.0,1010.0,0.0,434.0,392.0,1149.0,41.0
Mexicali,945.0,0.0,0.0,2169.0,2145.0,282.0,1527.0,1011.0,1140.0,1153.0,1527.0,1502.0,110.0,1814.0,1140.0,1477.0,1527.0,1140.0,0.0,1853.0,1569.0,1470.0,2169.0,904.0,603.0,120.0,2145.0,131.0,1569.0,1527.0,2284.0,856.0
La Paz,1037.0,0.0,0.0,1739.0,1715.0,359.0,1097.0,941.0,710.0,723.0,1097.0,1072.0,82.0,1384.0,710.0,1047.0,1097.0,710.0,978.0,1423.0,1139.0,1040.0,1739.0,834.0,173.0,197.0,1715.0,978.0,1139.0,1097.0,1854.0,786.0
San Francisco de Campeche,1195.0,2024.0,1594.0,0.0,0.0,1929.0,859.0,830.0,959.0,1347.0,859.0,812.0,2134.0,126.0,884.0,773.0,566.0,884.0,727.0,126.0,566.0,812.0,0.0,863.0,1387.0,1791.0,24.0,727.0,681.0,442.0,77.0,1236.0
Tuxtla Gutiérrez,1171.0,2000.0,1570.0,0.0,0.0,1905.0,835.0,806.0,935.0,1323.0,835.0,788.0,2110.0,102.0,860.0,749.0,542.0,860.0,703.0,167.0,542.0,788.0,0.0,839.0,1363.0,1767.0,0.0,703.0,657.0,418.0,139.0,1212.0
Chihuahua,663.0,282.0,359.0,1697.0,1673.0,0.0,1144.0,729.0,1204.0,511.0,966.0,998.0,282.0,1342.0,1204.0,966.0,1144.0,897.0,766.0,1381.0,1097.0,966.0,1697.0,622.0,24.0,110.0,1673.0,766.0,1097.0,1055.0,1812.0,574.0
Ciudad de México,472.0,1301.0,871.0,778.0,754.0,1206.0,0.0,276.0,236.0,624.0,0.0,89.0,1411.0,423.0,161.0,50.0,0.0,161.0,318.0,462.0,178.0,89.0,778.0,140.0,664.0,1068.0,754.0,160.0,178.0,0.0,893.0,513.0
Saltillo,89.0,1153.0,874.0,937.0,913.0,800.0,295.0,0.0,630.0,218.0,117.0,98.0,1153.0,582.0,630.0,66.0,295.0,630.0,0.0,532.0,248.0,66.0,937.0,66.0,667.0,1071.0,913.0,0.0,248.0,582.0,1052.0,0.0
Colima,327.0,1140.0,710.0,934.0,910.0,1061.0,292.0,416.0,0.0,453.0,292.0,362.0,1250.0,579.0,0.0,242.0,292.0,0.0,489.0,618.0,334.0,163.0,934.0,292.0,503.0,907.0,910.0,292.0,334.0,292.0,1049.0,368.0
Victoria de Durango,152.0,1086.0,656.0,1186.0,1162.0,582.0,633.0,218.0,386.0,0.0,455.0,487.0,1196.0,831.0,693.0,455.0,633.0,386.0,255.0,870.0,586.0,455.0,1186.0,111.0,449.0,853.0,1162.0,255.0,586.0,544.0,1301.0,63.0
Toluca,383.0,1301.0,871.0,778.0,754.0,1117.0,0.0,187.0,236.0,535.0,0.0,0.0,1411.0,423.0,161.0,50.0,0.0,161.0,229.0,462.0,178.0,0.0,778.0,51.0,664.0,1068.0,754.0,121.0,178.0,0.0,893.0,424.0
Guanajuato,303.0,1684.0,1254.0,731.0,707.0,1037.0,178.0,136.0,544.0,455.0,0.0,0.0,1794.0,376.0,544.0,0.0,178.0,544.0,178.0,415.0,131.0,0.0,731.0,0.0,1047.0,1451.0,707.0,70.0,131.0,89.0,846.0,344.0
Chilpancingo,945.0,110.0,39.0,2279.0,2255.0,282.0,1637.0,1011.0,1250.0,1263.0,1637.0,1612.0,0.0,1924.0,1250.0,1587.0,1637.0,1250.0,0.0,1963.0,1679.0,1580.0,2279.0,904.0,713.0,230.0,2255.0,131.0,1679.0,1637.0,2394.0,856.0
Pachuca,840.0,1669.0,1239.0,126.0,102.0,1574.0,504.0,475.0,604.0,992.0,504.0,457.0,1779.0,0.0,529.0,418.0,211.0,529.0,372.0,24.0,211.0,457.0,126.0,508.0,1032.0,1436.0,102.0,372.0,326.0,87.0,241.0,881.0
Guadalajara,327.0,1140.0,710.0,1029.0,1005.0,1061.0,387.0,416.0,0.0,479.0,387.0,362.0,1250.0,674.0,0.0,337.0,387.0,0.0,489.0,713.0,429.0,330.0,1029.0,292.0,503.0,907.0,1005.0,292.0,429.0,387.0,1144.0,368.0
Morelia,383.0,1251.0,821.0,692.0,668.0,1117.0,50.0,136.0,186.0,535.0,50.0,0.0,1361.0,337.0,111.0,0.0,50.0,111.0,178.0,376.0,92.0,0.0,692.0,0.0,614.0,1018.0,668.0,70.0,92.0,50.0,807.0,424.0
Cuernavaca,586.0,1301.0,871.0,600.0,576.0,1320.0,114.0,390.0,236.0,738.0,0.0,203.0,1411.0,245.0,161.0,50.0,0.0,161.0,432.0,284.0,0.0,203.0,600.0,254.0,664.0,1068.0,576.0,160.0,0.0,81.0,715.0,627.0
Tepic,327.0,1140.0,710.0,1029.0,1005.0,1035.0,387.0,416.0,0.0,453.0,387.0,362.0,1250.0,674.0,0.0,337.0,387.0,0.0,489.0,713.0,1031.0,330.0,1029.0,292.0,503.0,907.0,1005.0,292.0,429.0,387.0,1144.0,368.0
Monterrey,245.0,0.0,977.0,937.0,913.0,903.0,440.0,103.0,786.0,321.0,262.0,243.0,0.0,582.0,786.0,211.0,440.0,786.0,0.0,741.0,457.0,211.0,937.0,211.0,770.0,1174.0,913.0,0.0,457.0,582.0,1052.0,156.0
Oaxaca de Juárez,879.0,1708.0,1278.0,126.0,167.0,1613.0,543.0,683.0,643.0,1031.0,543.0,496.0,1818.0,24.0,568.0,457.0,250.0,568.0,725.0,0.0,250.0,496.0,126.0,547.0,1071.0,1475.0,102.0,556.0,365.0,212.0,241.0,920.0
Puebla de Zaragoza,514.0,1343.0,913.0,600.0,576.0,1248.0,178.0,318.0,278.0,666.0,178.0,131.0,1453.0,245.0,203.0,92.0,0.0,203.0,360.0,284.0,0.0,131.0,600.0,182.0,706.0,1110.0,576.0,191.0,0.0,81.0,715.0,555.0
Santiago de Querétaro,383.0,1764.0,1334.0,731.0,707.0,1117.0,178.0,136.0,107.0,535.0,0.0,0.0,1874.0,376.0,624.0,0.0,178.0,624.0,178.0,415.0,131.0,0.0,731.0,0.0,1127.0,1531.0,707.0,70.0,131.0,89.0,846.0,424.0
Chetumal,1195.0,2024.0,1594.0,0.0,0.0,1929.0,859.0,830.0,959.0,1347.0,859.0,812.0,2134.0,126.0,884.0,773.0,566.0,884.0,727.0,126.0,566.0,812.0,0.0,863.0,1387.0,1791.0,24.0,727.0,681.0,442.0,0.0,1236.0
San Luis Potosí,0.0,1046.0,767.0,782.0,758.0,693.0,229.0,66.0,506.0,111.0,51.0,32.0,1046.0,427.0,506.0,0.0,229.0,506.0,108.0,466.0,182.0,0.0,782.0,0.0,560.0,964.0,758.0,0.0,182.0,140.0,897.0,0.0
Culiacán,937.0,603.0,173.0,1639.0,1615.0,24.0,997.0,841.0,610.0,623.0,997.0,972.0,713.0,1284.0,610.0,947.0,997.0,610.0,878.0,1323.0,1039.0,940.0,1639.0,734.0,0.0,370.0,1615.0,878.0,1039.0,997.0,1754.0,686.0
Hermosillo,1234.0,120.0,197.0,1936.0,1912.0,110.0,1294.0,1138.0,907.0,920.0,1294.0,1269.0,230.0,1581.0,907.0,1244.0,1294.0,907.0,1175.0,1620.0,1336.0,1237.0,1936.0,1031.0,370.0,0.0,1912.0,1175.0,1336.0,1294.0,2051.0,983.0
Villahermosa,1171.0,2000.0,1570.0,24.0,0.0,1905.0,835.0,806.0,935.0,1323.0,835.0,788.0,2110.0,102.0,860.0,749.0,542.0,860.0,703.0,102.0,542.0,788.0,24.0,839.0,1363.0,1767.0,0.0,703.0,657.0,418.0,77.0,1212.0
Ciudad Victoria,0.0,131.0,977.0,937.0,913.0,903.0,457.0,103.0,506.0,321.0,51.0,32.0,131.0,582.0,506.0,0.0,457.0,506.0,0.0,741.0,457.0,0.0,937.0,0.0,770.0,1174.0,913.0,0.0,457.0,582.0,1052.0,0.0
Tlaxcala de Xicohténcatl,514.0,1343.0,913.0,600.0,576.0,1248.0,178.0,318.0,278.0,666.0,178.0,131.0,1453.0,245.0,203.0,92.0,0.0,203.0,191.0,284.0,0.0,131.0,600.0,182.0,706.0,1110.0,576.0,191.0,0.0,81.0,715.0,555.0
Xalapa,616.0,1445.0,1015.0,355.0,331.0,1350.0,403.0,388.0,380.0,768.0,403.0,233.0,1555.0,0.0,305.0,194.0,225.0,305.0,285.0,356.0,225.0,233.0,355.0,284.0,808.0,1212.0,331.0,285.0,225.0,0.0,470.0,657.0
