origen,destino,distancia_km,tiempo_horas,peaje_mxn
Aguascalientes,Mexicali,2149.0,29.55,1087.0
Aguascalientes,La Paz,1341.0,29.3,1251.0
Aguascalientes,San Francisco de Campeche,1489.0,23.166666666666668,1034.0
Aguascalientes,Tuxtla Gutiérrez,1309.0,18.766666666666666,1010.0
Aguascalientes,Chihuahua,945.0,12.2,734.0
Aguascalientes,Ciudad de México,486.0,7.4,481.0
Aguascalientes,Saltillo,478.0,11.3,89.0
Aguascalientes,Colima,407.0,8.716666666666667,541.0
Aguascalientes,Victoria de Durango,403.0,7.0,152.0
Aguascalientes,Toluca,474.0,7.133333333333334,303.0
Aguascalientes,Guanajuato,178.0,1.9166666666666665,335.0
Aguascalientes,Chilpancingo,2298.0,31.266666666666666,1087.0
Aguascalientes,Pachuca,902.0,13.35,679.0
Aguascalientes,Guadalajara,219.0,2.966666666666667,541.0
Aguascalientes,Morelia,313.0,4.95,303.0
Aguascalientes,Cuernavaca,565.0,9.383333333333333,481.0
Aguascalientes,Tepic,421.0,5.9,541.0
Aguascalientes,Monterrey,567.0,12.733333333333333,162.0
Aguascalientes,Oaxaca de Juárez,941.0,14.766666666666667,718.0
Aguascalientes,Puebla de Zaragoza,611.0,9.55,434.0
Aguascalientes,Santiago de Querétaro,286.0,5.016666666666667,303.0
Aguascalientes,Chetumal,1802.0,33.166666666666664,1034.0
Aguascalientes,San Luis Potosí,168.0,3.1,0.0
Aguascalientes,Culiacán,904.0,14.816666666666666,1044.0
Aguascalientes,Hermosillo,1572.0,25.033333333333335,1448.0
Aguascalientes,Villahermosa,1233.0,17.433333333333334,1010.0
Aguascalientes,Ciudad Victoria,496.0,12.016666666666667,0.0
Aguascalientes,Tlaxcala de Xicohténcatl,606.0,9.4,434.0
Aguascalientes,Xalapa,746.0,12.416666666666666,392.0
Aguascalientes,Mérida,1783.0,29.816666666666666,1149.0
Aguascalientes,Zacatecas,117.0,2.0166666666666666,41.0
Mexicali,Aguascalientes,2145.0,29.25,945.0
Mexicali,La Paz,1351.0,25.833333333333332,0.0
Mexicali,San Francisco de Campeche,3592.0,55.81666666666667,2169.0
Mexicali,Tuxtla Gutiérrez,3413.0,51.43333333333333,2145.0
Mexicali,Chihuahua,1197.0,17.283333333333335,282.0
Mexicali,Ciudad de México,2582.0,39.983333333333334,1527.0
Mexicali,Saltillo,1925.0,26.066666666666666,1011.0
Mexicali,Colima,2211.0,37.5,1140.0
Mexicali,Victoria de Durango,1819.0,24.8,1153.0
Mexicali,Toluca,2521.0,38.65,1527.0
Mexicali,Guanajuato,2323.0,35.75,1502.0
Mexicali,Chilpancingo,162.0,1.85,110.0
Mexicali,Pachuca,3005.0,46.016666666666666,1814.0
Mexicali,Guadalajara,2053.0,32.03333333333333,1140.0
Mexicali,Morelia,2337.0,36.266666666666666,1477.0
Mexicali,Cuernavaca,2606.0,40.666666666666664,1527.0
Mexicali,Tepic,1848.0,29.166666666666668,1140.0
Mexicali,Monterrey,2240.0,29.016666666666666,0.0
Mexicali,Oaxaca de Juárez,3045.0,47.416666666666664,1853.0
Mexicali,Puebla de Zaragoza,2714.0,42.2,1569.0
Mexicali,Santiago de Querétaro,2431.0,38.833333333333336,1470.0
Mexicali,Chetumal,3906.0,65.81666666666666,2169.0
Mexicali,San Luis Potosí,2218.0,31.666666666666668,904.0
Mexicali,Culiacán,1395.0,20.316666666666666,603.0
Mexicali,Hermosillo,694.0,9.633333333333333,120.0
Mexicali,Villahermosa,3337.0,50.083333333333336,2145.0
Mexicali,Ciudad Victoria,2513.0,35.96666666666667,131.0
Mexicali,Tlaxcala de Xicohténcatl,2709.0,42.06666666666667,1569.0
Mexicali,Xalapa,2850.0,45.06666666666667,1527.0
Mexicali,Mérida,3887.0,62.46666666666667,2284.0
Mexicali,Zacatecas,2031.0,27.533333333333335,856.0
La Paz,Aguascalientes,1341.0,30.066666666666666,1037.0
La Paz,Mexicali,1349.0,25.583333333333332,0.0
La Paz,San Francisco de Campeche,2664.0,50.666666666666664,1739.0
