,Aguascalientes,Mexicali,La Paz,San Francisco de Campeche,Tuxtla Gutiérrez,Chihuahua,Ciudad de México,Saltillo,Colima,Victoria de Durango,Toluca,Guanajuato,Chilpancingo,Pachuca,Guadalajara,Morelia,Cuernavaca,Tepic,Monterrey,Oaxaca de Juárez,Puebla de Zaragoza,Santiago de Querétaro,Chetumal,San Luis Potosí,Culiacán,Hermosillo,Villahermosa,Ciudad Victoria,Tlaxcala de Xicohténcatl,Xalapa,Mérida,Zacatecas
Aguascalientes,0.0,29.55,29.3,23.166666666666668,18.766666666666666,12.2,7.4,11.3,8.716666666666667,7.0,7.133333333333334,1.9166666666666665,31.266666666666666,13.35,2.966666666666667,4.95,9.383333333333333,5.9,12.733333333333333,14.766666666666667,9.55,5.016666666666667,33.166666666666664,3.1,14.816666666666666,25.033333333333335,17.433333333333334,12.016666666666667,9.4,12.416666666666666,29.816666666666666,2.0166666666666666
Mexicali,29.25,0.0,25.833333333333332,55.81666666666667,51.43333333333333,17.283333333333335,39.983333333333334,26.066666666666666,37.5,24.8,38.65,35.75,1.85,46.016666666666666,32.03333333333333,36.266666666666666,40.666666666666664,29.166666666666668,29.016666666666666,47.416666666666664,42.2,38.833333333333336,65.81666666666666,31.666666666666668,20.316666666666666,9.633333333333333,50.083333333333336,35.96666666666667,42.06666666666667,45.06666666666667,62.46666666666667,27.533333333333335
La Paz,30.066666666666666,25.583333333333332,0.0,50.666666666666664,46.266666666666666,23.55,34.833333333333336,24.983333333333334,32.35,19.65,33.483333333333334,30.583333333333332,28.566666666666666,40.86666666666667,26.883333333333333,31.1,35.516666666666666,24.0,26.35,42.266666666666666,37.05,33.68333333333333,60.666666666666664,29.616666666666667,15.15,17.733333333333334,44.93333333333333,31.766666666666666,36.9,39.916666666666664,57.31666666666667,25.483333333333334
San Francisco de Campeche,22.183333333333334,56.016666666666666,51.0,0.0,12.466666666666667,34.4,15.75,33.3,29.5,29.2,16.866666666666667,20.833333333333332,57.85,10.633333333333333,24.666666666666668,20.416666666666668,17.033333333333335,27.583333333333332,31.65,14.066666666666666,13.733333333333333,19.116666666666667,10.0,21.483333333333334,36.516666666666666,46.733333333333334,5.916666666666667,26.85,14.233333333333333,13.366666666666667,8.016666666666667,24.216666666666665
Tuxtla Gutiérrez,17.866666666666667,51.68333333333333,46.666666666666664,12.266666666666667,0.0,30.066666666666666,11.416666666666666,28.966666666666665,25.166666666666668,24.866666666666667,12.533333333333333,16.5,53.516666666666666,6.3,20.333333333333332,16.1,12.7,23.266666666666666,27.316666666666666,9.183333333333334,9.4,14.783333333333333,22.266666666666666,17.166666666666668,32.2,42.4,5.916666666666667,22.516666666666666,9.9,9.033333333333333,18.3,19.883333333333333
Chihuahua,11.95,17.1,23.533333333333335,35.1,30.7,0.0,19.35,8.783333333333333,20.65,8.083333333333334,19.066666666666666,13.866666666666667,18.816666666666666,25.3,14.916666666666666,16.883333333333333,21.333333333333332,17.25,10.15,26.7,21.483333333333334,16.95,45.1,14.383333333333333,13.85,9.666666666666666,29.366666666666667,15.55,21.35,24.35,41.75,10.25
Ciudad de México,6.7,40.4,35.36666666666667,16.383333333333333,11.983333333333333,18.916666666666668,0.0,13.066666666666666,13.866666666666667,13.716666666666667,1.35,5.35,42.21666666666667,6.583333333333333,9.05,4.8,1.7333333333333334,11.966666666666667,14.233333333333333,7.983333333333333,2.7666666666666666,3.6333333333333333,26.383333333333333,6.0,20.9,31.1,10.65,15.983333333333333,2.6166666666666667,6.1,23.033333333333335,8.733333333333333
Saltillo,7.133333333333334,26.216666666666665,24.916666666666668,34.21666666666667,29.816666666666666,8.866666666666667,12.716666666666667,0.0,15.85,5.35,12.433333333333334,9.916666666666666,27.916666666666668,24.416666666666668,10.1,12.416666666666666,14.7,13.016666666666667,1.6,20.066666666666666,14.85,9.95,44.21666666666667,6.916666666666667,10.45,20.65,28.483333333333334,7.0,14.716666666666667,20.583333333333332,40.86666666666667,5.55
Colima,8.333333333333334,36.25,31.233333333333334,28.533333333333335,24.133333333333333,20.533333333333335,12.7,19.65,0.0,16.466666666666665,11.35,8.866666666666667,38.083333333333336,18.733333333333334,5.216666666666667,8.966666666666667,13.383333333333333,7.833333333333333,21.083333333333332,20.133333333333333,14.916666666666666,10.933333333333334,38.53333333333333,10.033333333333333,16.766666666666666,26.966666666666665,22.8,18.95,14.766666666666667,17.783333333333335,35.18333333333333,10.366666666666667
Victoria de Durango,7.3,24.733333333333334,19.716666666666665,30.45,26.05,8.3,14.7,5.45,17.65,0.0,14.416666666666666,9.216666666666667,26.55,20.65,10.266666666666667,12.25,16.683333333333334,9.316666666666666,6.816666666666666,22.05,16.833333333333332,12.3,40.45,9.733333333333333,5.233333333333333,15.45,24.716666666666665,12.233333333333333,16.7,19.7,37.1,5.6
